SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
true_home5G_041,e4:26:86:e0:40:60,-60,36,Y,US,RSN(PSK/AES/AES),88.66399286987519,441.6105169340464
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-64,11,Y,--,RSN(PSK/AES/AES),88.66399286987519,441.6105169340464
Bau,e4:26:86:e0:40:64,-46,1,Y,TH,RSN(PSK/AES/AES),88.66399286987519,441.6105169340464
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
Koh_2.4GHzcc:50:0a:e2:f4:37,-83,"11,-1",Y,--,"WPA(PSK/TKIP,AES/TKIP)","RSN(PSK/TKIP,AES/TKIP)",63.708556149732544,496.5124777183601
true_home5G_041,e4:26:86:e0:40:60,-59,36,Y,US,RSN(PSK/AES/AES),63.708556149732544,496.5124777183601
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-64,11,Y,--,RSN(PSK/AES/AES),63.708556149732544,496.5124777183601
Bau,e4:26:86:e0:40:64,-48,1,Y,TH,RSN(PSK/AES/AES),63.708556149732544,496.5124777183601
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
Koh_2.4GHzcc:50:0a:e2:f4:37,-83,"11,-1",Y,--,"WPA(PSK/TKIP,AES/TKIP)","RSN(PSK/TKIP,AES/TKIP)",218.4322638146167,484.0347593582888
true_home5G_041,e4:26:86:e0:40:60,-57,36,Y,US,RSN(PSK/AES/AES),218.4322638146167,484.0347593582888
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-73,11,Y,--,RSN(PSK/AES/AES),218.4322638146167,484.0347593582888
Bau,e4:26:86:e0:40:64,-55,1,Y,TH,RSN(PSK/AES/AES),218.4322638146167,484.0347593582888
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
Koh_2.4GHzcc:50:0a:e2:f4:37,-83,"11,-1",Y,--,"WPA(PSK/TKIP,AES/TKIP)","RSN(PSK/TKIP,AES/TKIP)",433.0490196078431,481.53921568627453
true_home5G_041,e4:26:86:e0:40:60,-59,36,Y,US,RSN(PSK/AES/AES),433.0490196078431,481.53921568627453
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-64,11,Y,--,RSN(PSK/AES/AES),433.0490196078431,481.53921568627453
Bau,e4:26:86:e0:40:64,-45,1,Y,TH,RSN(PSK/AES/AES),433.0490196078431,481.53921568627453
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
Koh_2.4GHzcc:50:0a:e2:f4:37,-83,"11,-1",Y,--,"WPA(PSK/TKIP,AES/TKIP)","RSN(PSK/TKIP,AES/TKIP)",582.7816399286987,474.0525846702318
true_home5G_041,e4:26:86:e0:40:60,-59,36,Y,US,RSN(PSK/AES/AES),582.7816399286987,474.0525846702318
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-74,11,Y,--,RSN(PSK/AES/AES),582.7816399286987,474.0525846702318
MayYuNaing,c4:69:f0:7f:75:ec,-85,6,Y,--,RSN(PSK/AES/AES),582.7816399286987,474.0525846702318
Bau,e4:26:86:e0:40:64,-50,1,Y,TH,RSN(PSK/AES/AES),582.7816399286987,474.0525846702318
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
Koh_2.4GHzcc:50:0a:e2:f4:37,-83,"11,-1",Y,--,"WPA(PSK/TKIP,AES/TKIP)","RSN(PSK/TKIP,AES/TKIP)",767.451871657754,461.5748663101605
MayYuNaing,c4:69:f0:7f:75:ec,-85,6,Y,--,RSN(PSK/AES/AES),767.451871657754,461.5748663101605
true_home5G_041,e4:26:86:e0:40:60,-54,36,Y,US,RSN(PSK/AES/AES),767.451871657754,461.5748663101605
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-68,11,Y,--,RSN(PSK/AES/AES),767.451871657754,461.5748663101605
Bau,e4:26:86:e0:40:64,-50,1,Y,TH,RSN(PSK/AES/AES),767.451871657754,461.5748663101605
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,x,Y
MayYuNaing,c4:69:f0:7f:75:ec,-85,6,Y,--,RSN(PSK/AES/AES),802.3894830659535,229.48930481283435
true_home5G_041,e4:26:86:e0:40:60,-53,36,Y,US,RSN(PSK/AES/AES),802.3894830659535,229.48930481283435
DIRECT-NUMFC-L2715DW_BR8fa7,2e:6f:c9:32:8f:a7,-72,11,Y,--,RSN(PSK/AES/AES),802.3894830659535,229.48930481283435
Bau,e4:26:86:e0:40:64,-47,1,Y,TH,RSN(PSK/AES/AES),802.3894830659535,229.48930481283435
